,date,init-from,size(byte),footprint(%),psnr,bpp,CR,mse,ssim,cmprss-class,cmprss-class-2
1603774067-025589,1603774067-025589,-,117508.0,100.0,47.98588654214953,14.34423828125,0.27019436974503863,4.79731970699504e-05,0.9967883790342329,Baseline:hf=64:hl=7,BASELINE
1603774067-025589,1603774067-025589,-,117508.0,100.0,53.52413879568556,14.34423828125,0.27019436974503863,1.9309920389787294e-05,0.9976522813143732,Baseline:hf=64:hl=7,BASELINE
1603774067-025589,1603774067-025589,-,117508.0,100.0,54.11125714068202,14.34423828125,0.27019436974503863,1.5394070942420512e-05,0.997726603138417,Baseline:hf=64:hl=7,BASELINE
1603774067-025589,1603774067-025589,-,134148.0,100.0,54.99136564642106,16.37548828125,0.23667889197006292,1.3479248082148843e-05,0.9982039198515203,Baseline:hf=64:hl=8,BASELINE
1603774067-025589,1603774067-025589,-,134148.0,100.0,51.75618728080749,16.37548828125,0.23667889197006292,3.1387309718411416e-05,0.9979031092713258,Baseline:hf=64:hl=8,BASELINE
1603774067-025589,1603774067-025589,-,134148.0,100.0,53.20410255304778,16.37548828125,0.23667889197006292,2.0534331270027906e-05,0.9980018583414512,Baseline:hf=64:hl=8,BASELINE
1603774067-025589,1603774067-025589,-,150788.0,100.0,55.4041662739656,18.40673828125,0.21056052205745815,1.0999367077602074e-05,0.9982405168278636,Baseline:hf=64:hl=9,BASELINE
1603774067-025589,1603774067-025589,-,150788.0,100.0,49.44416403482926,18.40673828125,0.21056052205745815,5.093669460620731e-05,0.9973827780235417,Baseline:hf=64:hl=9,BASELINE
1603774067-025589,1603774067-025589,-,150788.0,100.0,53.249995853421495,18.40673828125,0.21056052205745815,2.016472899413202e-05,0.9981848465834204,Baseline:hf=64:hl=9,BASELINE
1603816949-617728,1603816949-617728,-,167428.0,100.0,55.98490268504928,20.43798828125,0.1896337530162219,9.976553883461747e-06,0.9983535425289821,Baseline:hf=64:hl=10,BASELINE
1603816949-617728,1603816949-617728,-,167428.0,100.0,53.28186463200205,20.43798828125,0.1896337530162219,2.3411692382069305e-05,0.9982775347009963,Baseline:hf=64:hl=10,BASELINE
1603816949-617728,1603816949-617728,-,167428.0,100.0,41.8804826482405,20.43798828125,0.1896337530162219,0.00021148202358745039,0.9926907718495048,Baseline:hf=64:hl=10,BASELINE
1603816949-617728,1603816949-617728,-,184068.0,100.0,54.16385080602288,22.46923828125,0.17249060129951974,1.5452302250196226e-05,0.9975403741287392,Baseline:hf=64:hl=11,BASELINE
1603816949-617728,1603816949-617728,-,184068.0,100.0,51.63430675032543,22.46923828125,0.17249060129951974,2.3901266104076058e-05,0.9964030993819688,Baseline:hf=64:hl=11,BASELINE
1603816949-617728,1603816949-617728,-,184068.0,100.0,54.181396993343746,22.46923828125,0.17249060129951974,1.700296525086742e-05,0.9983989817382822,Baseline:hf=64:hl=11,BASELINE
1603816949-617728,1603816949-617728,-,200708.0,100.0,54.40880083177653,24.50048828125,0.1581900073738964,1.5971510947565548e-05,0.9975959214432568,Baseline:hf=64:hl=12,BASELINE
